"periodo","casos","poblacion","tasa"
1980,21,8357474,0.251272094893744
1981,18,8519569,0.211278293538089
1982,19,8695031,0.218515609662576
1983,29,8833515,0.328295135062317
1984,46,8997055,0.511278412769512
1985,118,9187620,1.28433696648316
1986,160,9414654,1.69947828141109
1987,302,9704097,3.1120876058844
1988,387,9996507,3.87135226334559
1989,571,10270326,5.55970667338116
1990,720,10551334,6.82378171328858
1991,871,10831406,8.04143063236666
1992,902,11114528,8.11550432011148
1993,1111,11408886,9.73802350203166
1994,1424,11715473,12.1548656208759
1995,1629,12031297,13.5396873670395
1996,1738,12342928,14.0809376835059
1997,1900,12648512,15.0215298052451
1998,2274,12965596,17.5387232488194
1999,3364,13233971,25.4194300410663
2000,3404,13499684,25.2154050420736
2001,4000,13797120,28.9915576584099
2002,3033,14053199,21.5822746123498
2003,5133,14238483,36.0501887736215
2004,4777,14308506,33.3857357295024
2005,5202,14460671,35.9734344277662
2006,5311,14724639,36.0687959820271
2007,5627,14902867,37.7578354554194
2008,5605,15154788,36.9850109417565
2009,4157,15454238,26.898770421421
2010,5876,15785572,37.2238649318504
2011,5909,16104402,36.6918312148442
2012,6179,16359789,37.7694357793979
2013,5876,16691071,35.204451529803
2014,6351,17020953,37.3128343636223
2015,6933,17261606,40.1642813536585
2016,5313,17505279,30.3508444509796
2017,6458,17757886,36.3669414253476
2018,6343,18031282,35.1777538613172
2019,4659,18354435,25.3835108517369
